# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\Windows\Desktop\DE1_SoC_i2sound\DE1_SoC_i2sound.csv
# Generated on: Sat Mar 30 13:31:28 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
ADC_CONVST,Output,PIN_AJ4,3B,B3B_N0,PIN_AJ4,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DIN,Output,PIN_AK4,3B,B3B_N0,PIN_AK4,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DOUT,Input,PIN_AK3,3B,B3B_N0,PIN_AK3,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SCLK,Output,PIN_AK2,3B,B3B_N0,PIN_AK2,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCDAT,Input,PIN_K7,8A,B8A_N0,PIN_K7,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCLRCK,Bidir,PIN_K8,8A,B8A_N0,PIN_K8,3.3-V LVTTL,,,,,,,,,,,,,
AUD_BCLK,Bidir,PIN_H7,8A,B8A_N0,PIN_H7,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACDAT,Output,PIN_J7,8A,B8A_N0,PIN_J7,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACLRCK,Bidir,PIN_H8,8A,B8A_N0,PIN_H8,3.3-V LVTTL,,,,,,,,,,,,,
AUD_XCK,Output,PIN_G7,8A,B8A_N0,PIN_G7,3.3-V LVTTL,,,,,,,,,,,,,
